ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
1856122751236113,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=1856122751236113
459350765406388,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,1000,1999,0,99,https://www.facebook.com/ads/library/?id=459350765406388
478564550015815,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,1000,1999,0,99,https://www.facebook.com/ads/library/?id=478564550015815
234143808408354,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,1000,1999,0,99,https://www.facebook.com/ads/library/?id=234143808408354
723934691604789,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,3000,3999,0,99,https://www.facebook.com/ads/library/?id=723934691604789
835758280307527,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,2000,2999,0,99,https://www.facebook.com/ads/library/?id=835758280307527
1869432159889021,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,1000,1999,0,99,https://www.facebook.com/ads/library/?id=1869432159889021
460066121861739,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,2000,2999,0,99,https://www.facebook.com/ads/library/?id=460066121861739
106370338101353,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,1000,1999,0,99,https://www.facebook.com/ads/library/?id=106370338101353
984049555463072,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,1000,1999,0,99,https://www.facebook.com/ads/library/?id=984049555463072
481232619567056,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=481232619567056
461107448658774,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=461107448658774
492439531918637,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,5000,5999,0,99,https://www.facebook.com/ads/library/?id=492439531918637
956875204717595,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,2000,2999,0,99,https://www.facebook.com/ads/library/?id=956875204717595
364720021238924,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,1000,1999,0,99,https://www.facebook.com/ads/library/?id=364720021238924
779949209589760,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,4000,4999,0,99,https://www.facebook.com/ads/library/?id=779949209589760
399521271412841,121264564551002,VVD,"We moeten gaan bouwen, bouwen, bouwen. Een fijn huis is voor iedereen belangrijk. Maar de afgelopen jaren is er te weinig gebouwd, zeker voor starters, senioren en de middenklasse.

Daarom gaan we de komende periode veel meer bouwen. En pakken we opkopers in woonwijken aan. Zo pakken we het woningtekort aan.",www.vvd.nl,,"We moeten gaan bouwen, bouwen, bouwen.",2021-03-14,2021-03-14,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=399521271412841
1316040015429872,121264564551002,VVD,"Veel ondernemers maken een moeilijke tijd door. Daarom steunen we ondernemers, en blijven we dat voorlopig ook doen.

Want juist na deze coronacrisis, moeten we zorgen dat we samen sterker verder kunnen.",www.vvd.nl,,Thierry Aartsen over ondernemers.,2021-03-14,2021-03-14,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=1316040015429872
359540895204016,121264564551002,VVD,"Wij zijn trots op de keihard werkende ondernemers in de land- en tuinbouw. Zij zijn ontzettend belangrijk voor onze economie.

Met slimme technieken kunnen boeren ook bijdragen aan mens en natuur. Zo gaan we samen sterker verder. 🚜🧅🍅🥦🐄",www.vvd.nl,,Wij zijn trots op de keihard werkende ondernemers in de land- en tuinbouw.,2021-03-14,2021-03-14,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=359540895204016
461359131683048,121264564551002,VVD,"Iedereen verdient goede en liefdevolle zorg. Op dit moment zijn we met z’n allen bezig om de eindstreep van de coronacrisis te halen. 

En als dat ons samen gelukt is, gaan we direct aan de slag om onze zorg klaar te maken voor een volgende gezondheidscrisis.",www.vvd.nl,,"Sophie Hermans over het realiseren van goede, liefdevolle zorg.",2021-03-14,2021-03-14,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=461359131683048
